iter	Logloss
0	0.6905533321
1	0.6878168015
2	0.6863049704
3	0.6834672595
4	0.6811972119
5	0.6796218024
6	0.6776839968
7	0.6763070727
8	0.6747115604
9	0.6718096052
10	0.6703562055
11	0.6686125256
12	0.6661285521
13	0.6640942286
14	0.660971687
15	0.6593185304
16	0.6586185031
17	0.6568998912
18	0.6553134615
19	0.6542001755
20	0.651867155
21	0.6506075783
22	0.6492642599
23	0.6469634525
24	0.645050836
25	0.6420129443
26	0.6406698076
27	0.639038207
28	0.6372038221
29	0.6360569909
30	0.6339085291
31	0.632317982
32	0.6304771787
33	0.6288196624
34	0.6271310231
35	0.6262278481
36	0.6237504142
37	0.6223162091
38	0.6211130051
39	0.619855245
40	0.6174166846
41	0.6147506956
42	0.6126484947
43	0.6115052965
44	0.6103247385
45	0.6095451476
46	0.6085831173
47	0.6066648695
48	0.6055753193
49	0.6049446227
50	0.6036422972
51	0.6032814147
52	0.6026330373
53	0.6005177574
54	0.5989584544
55	0.5974739922
56	0.5963914659
57	0.5954136924
58	0.5942112756
59	0.5937793066
60	0.5922839452
61	0.5914999341
62	0.5900753566
63	0.5895622496
64	0.5884100899
65	0.5880366129
66	0.5860833668
67	0.5846108331
68	0.5838268219
69	0.5823769948
70	0.5814219278
71	0.5800586277
72	0.5784919375
73	0.5779387459
74	0.5764189221
75	0.5750838991
76	0.574064285
77	0.5728074937
78	0.5719183059
79	0.5708652678
80	0.5698027838
81	0.5693238273
82	0.5679089985
83	0.5675178407
84	0.5665971665
85	0.5656701951
86	0.564301627
87	0.5630887955
88	0.5623663039
89	0.5621095688
90	0.5615165347
91	0.5603037637
92	0.5596598065
93	0.5581065587
94	0.5572587876
95	0.5558965168
96	0.5548358493
97	0.5544264657
98	0.5536222307
99	0.5524888417
100	0.5513902694
101	0.5506668696
102	0.548650893
103	0.547732883
104	0.5470228649
105	0.5459199936
106	0.5447853936
107	0.5441085573
108	0.5425080193
109	0.5421993316
110	0.541504754
111	0.5409952799
112	0.5399992201
113	0.5395670089
114	0.5386866009
115	0.5377623543
116	0.5370719546
117	0.5365250603
118	0.5359894283
119	0.5354898241
120	0.5348273383
121	0.5333583771
122	0.5317704942
123	0.5309626261
124	0.5299801297
125	0.5289682661
126	0.5276572818
127	0.5265914069
128	0.5257565937
129	0.5246331957
130	0.5238584488
131	0.5231502472
132	0.5221492222
133	0.5218276372
134	0.5206556774
135	0.5197667924
136	0.5196090577
137	0.5180800907
138	0.5175872076
139	0.5174726456
140	0.516571711
141	0.5159390162
142	0.5154289367
143	0.5143289717
144	0.5128147791
145	0.5120302231
146	0.5103708903
147	0.5092801896
148	0.5084821913
149	0.507975987
150	0.5074035705
151	0.5065750546
152	0.5063703628
153	0.5056813558
154	0.5047503275
155	0.5041306511
156	0.5033614143
157	0.502519214
158	0.5019972665
159	0.5015585158
160	0.5011822837
161	0.5006874932
162	0.4999061463
163	0.4993814135
164	0.4986558036
165	0.4982436347
166	0.4977845086
167	0.4974293784
168	0.497024627
169	0.4955587841
170	0.4951094976
171	0.4947820088
172	0.4937570663
173	0.4928106883
174	0.4925759936
175	0.4918389396
176	0.4915300702
177	0.4911067297
178	0.4909849015
179	0.4900513604
180	0.4889770992
181	0.4887648688
182	0.4881216988
183	0.487305838
184	0.4861700875
185	0.4851547726
186	0.4849408165
187	0.4844821446
188	0.4840624976
189	0.4833418528
190	0.4827710409
191	0.4819327158
192	0.4815997169
193	0.4809527019
194	0.4804466187
195	0.4800901867
196	0.4798356314
197	0.4789598253
198	0.4784224677
199	0.4779912555
200	0.4776568943
201	0.4773382157
202	0.4769116659
203	0.4762139093
204	0.4756965637
205	0.4754873912
