iter	Passed	Remaining
0	62	30958
1	73	18253
2	82	13744
3	96	11937
4	108	10773
5	122	10048
6	134	9461
7	146	9038
8	160	8740
9	172	8439
10	184	8181
11	196	7987
12	208	7807
13	220	7646
14	231	7500
15	244	7385
16	256	7284
17	267	7175
18	280	7113
19	292	7025
20	303	6927
21	315	6850
22	326	6771
23	337	6691
24	348	6623
25	360	6566
26	371	6507
27	382	6441
28	393	6385
29	404	6331
30	415	6281
31	426	6234
32	437	6186
33	448	6143
34	459	6100
35	470	6058
36	481	6025
37	492	5989
38	504	5959
39	516	5934
40	527	5900
41	538	5875
42	550	5849
43	561	5820
44	573	5797
45	585	5775
46	596	5748
47	608	5725
48	619	5704
49	631	5679
50	642	5657
51	653	5633
52	665	5615
53	677	5593
54	688	5574
55	700	5553
56	711	5533
57	722	5509
58	734	5487
59	745	5465
60	757	5448
61	769	5435
62	780	5415
63	789	5381
64	801	5363
65	812	5345
66	823	5322
67	834	5299
68	845	5279
69	855	5258
70	867	5240
71	878	5220
72	889	5203
73	899	5178
74	909	5156
75	920	5137
76	931	5119
77	943	5103
78	956	5098
79	968	5085
80	980	5071
81	991	5053
82	1002	5038
83	1014	5023
84	1023	4997
85	1034	4981
86	1046	4966
87	1057	4950
88	1068	4935
89	1079	4916
90	1091	4905
91	1102	4888
92	1114	4876
93	1124	4858
94	1135	4842
95	1148	4832
96	1161	4823
97	1173	4811
98	1185	4800
99	1196	4786
100	1208	4773
101	1219	4759
102	1231	4747
103	1243	4736
104	1255	4724
105	1268	4716
106	1281	4707
107	1293	4694
108	1306	4685
109	1318	4674
110	1329	4660
111	1341	4646
112	1352	4631
113	1363	4615
114	1373	4599
115	1385	4586
116	1395	4569
117	1407	4556
118	1418	4540
119	1428	4524
120	1440	4511
121	1452	4500
122	1464	4490
123	1476	4477
124	1489	4467
125	1501	4458
126	1515	4451
127	1528	4442
128	1541	4432
129	1554	4424
130	1566	4413
131	1579	4404
132	1591	4392
133	1604	4382
134	1617	4372
135	1629	4360
136	1641	4349
137	1653	4338
138	1665	4326
139	1677	4313
140	1689	4300
141	1700	4288
142	1713	4277
143	1725	4265
144	1736	4252
145	1748	4239
146	1759	4226
147	1771	4214
148	1783	4201
149	1795	4189
150	1807	4176
151	1819	4164
152	1831	4153
153	1842	4139
154	1853	4126
155	1864	4111
156	1875	4097
157	1888	4086
158	1900	4076
